DATE: 2022-02-09 09:22:50 pm|Action: Appointment removedQUEE121212 | Parameters: USER: QUEserverQUEA1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN/ NumofAppointmentRemoved: 0 | Action Status: Success | Resonse: removed
DATE: 2022-02-10 11:59:38 pm|Action: List of Appointments | Parameters: USER: AllserverQUEA1212 | Action Status: Success | Resonse: {PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={MTLE121212=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN121212=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-11 12:00:04 am|Action: Appointment BookedQUEE121212 | Parameters: USER: QUEserverQUEA1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-11 12:00:28 am|Action: List of Appointments | Parameters: USER: MONserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-11 12:00:28 am|Action: Appointment notBookedMTLE121212 | Parameters: USER: MTLserverQUEA1212/ AppointmentId: MTLE121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Failed | Resonse: Appointment Notadded
DATE: 2022-02-11 09:34:42 pm|Action: addAppointmentQUEA1212|QUEA121212|PHYSICIAN | Parameters: USER:MONserverQUEA1212/ AppointmentId: QUEA121212/ AppointmentType: PHYSICIAN/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-11 09:35:05 pm|Action: List of Appointments | Parameters: USER: MONserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-11 09:35:05 pm|Action: List of Appointments | Parameters: USER: SHEserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-11 09:35:05 pm|Action: List of Appointments | Parameters: USER: AllserverQUEA1212 | Action Status: Success | Resonse: {PHYSICIAN={QUEA121212=Appointment{Number of Appoinntment='12}, QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={MTLE121212=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN121212=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-11 09:35:05 pm|Action: Appointment BookedQUEA121212 | Parameters: USER: QUEserverQUEA1212/ AppointmentId: QUEA121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-11 09:35:09 pm|Action: getAppointmentSchedule | Parameters: USER:allserver[QUEA121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-11 09:35:15 pm|Action: List of Appointments | Parameters: USER: MONserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-11 09:35:15 pm|Action: List of Appointments | Parameters: USER: SHEserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-11 09:35:15 pm|Action: List of Appointments | Parameters: USER: AllserverQUEA1212 | Action Status: Success | Resonse: {PHYSICIAN={QUEA121212=Appointment{Number of Appoinntment='11}, QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={MTLE121212=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN121212=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-11 09:35:34 pm|Action: List of Appointments | Parameters: USER: MONserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-11 09:35:34 pm|Action: List of Appointments | Parameters: USER: SHEserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-11 09:35:34 pm|Action: List of Appointments | Parameters: USER: AllserverQUEA1212 | Action Status: Success | Resonse: {PHYSICIAN={QUEA121212=Appointment{Number of Appoinntment='11}, QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={MTLE121212=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN121212=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-11 09:35:35 pm|Action: Appointment BookedMTLE121212 | Parameters: USER: mtlserverQUEA1212/ AppointmentId: MTLE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-11 09:35:35 pm|Action: Appointment BookedMTLE121212 | Parameters: USER:MTLserverQUEA1212/ AppointmentId: MTLE121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-11 09:35:37 pm|Action: getAppointmentSchedule | Parameters: USER:sheorqueserver[MTLE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-11 09:35:37 pm|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE121212PHYSICIAN][QUEA121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-11 09:35:57 pm|Action: List of Appointments | Parameters: USER: MONserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-11 09:35:57 pm|Action: List of Appointments | Parameters: USER: SHEserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-11 09:35:57 pm|Action: List of Appointments | Parameters: USER: AllserverQUEA1212 | Action Status: Success | Resonse: {PHYSICIAN={QUEA121212=Appointment{Number of Appoinntment='11}, QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={MTLE121212=Appointment{Number of Appoinntment='9}}, SURGEON={MTLN121212=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-11 09:35:57 pm|Action: Appointment BookedSHEA121212 | Parameters: USER: sheserverQUEA1212/ AppointmentId: SHEA121212/ AppointmentType: DENTIST | Action Status: Success | Resonse: TRUE
DATE: 2022-02-11 09:35:57 pm|Action: Appointment BookedSHEA121212 | Parameters: USER:SHEserverQUEA1212/ AppointmentId: SHEA121212/ AppointmentType: DENTIST/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-11 09:36:11 pm|Action: Appointment CancelledSHEA121212 | Parameters: USER: SHEserverQUEA1212/ AppointmentId: SHEA121212/ AppointmentType: DENTIST | Action Status: Success | Resonse: true
DATE: 2022-02-11 09:36:11 pm|Action: Appointment CancelledSHEA121212 | Parameters: USER:SHEserverQUEA1212/ AppointmentId: SHEA121212/ AppointmentType: DENTIST/ NumofAppointment:  | Action Status: Success | Resonse: true
DATE: 2022-02-14 04:58:41 pm|Action: getAppointmentSchedule | Parameters: USER:allservernull | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-14 04:58:48 pm|Action: List of Appointments | Parameters: USER: MONserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-14 04:58:48 pm|Action: List of Appointments | Parameters: USER: SHEserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-14 04:58:48 pm|Action: List of Appointments | Parameters: USER: AllserverQUEA1212 | Action Status: Success | Resonse: {PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='9}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={MTLE121212=Appointment{Number of Appoinntment='9}}, SURGEON={MTLN121212=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='9}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-14 04:59:27 pm|Action: addAppointmentQUEA1212|QUEA121212|PHYSICIAN | Parameters: USER:MONserverQUEA1212/ AppointmentId: QUEA121212/ AppointmentType: PHYSICIAN/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-14 04:59:36 pm|Action: getAppointmentSchedule | Parameters: USER:allservernull | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-14 04:59:40 pm|Action: List of Appointments | Parameters: USER: MONserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-14 04:59:40 pm|Action: List of Appointments | Parameters: USER: SHEserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-14 04:59:40 pm|Action: List of Appointments | Parameters: USER: AllserverQUEA1212 | Action Status: Success | Resonse: {PHYSICIAN={QUEA121212=Appointment{Number of Appoinntment='12}, QUEE121212=Appointment{Number of Appoinntment='9}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={MTLE121212=Appointment{Number of Appoinntment='9}}, SURGEON={MTLN121212=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='9}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-14 05:00:09 pm|Action: Appointment notAddedMTLM121212 | Parameters: USER: MTLserverQUEA1212/ AppointmentId: MTLM121212/ AppointmentType: DENTIST/ NumofAppointment: 12 | Action Status: Failed | Resonse: Appointment Notadded
DATE: 2022-02-14 05:01:06 pm|Action: Appointment removedQUEA121212 | Parameters: USER: QUEserverQUEA1212/ AppointmentId: QUEA121212/ AppointmentType: PHYSICIAN/ NumofAppointmentRemoved: 0 | Action Status: Success | Resonse: removed
DATE: 2022-02-14 05:01:09 pm|Action: List of Appointments | Parameters: USER: MONserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-14 05:01:09 pm|Action: List of Appointments | Parameters: USER: SHEserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-14 05:01:09 pm|Action: List of Appointments | Parameters: USER: AllserverQUEA1212 | Action Status: Success | Resonse: {PHYSICIAN={QUEA121212=Appointment{Number of Appoinntment='0}, QUEE121212=Appointment{Number of Appoinntment='9}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={MTLE121212=Appointment{Number of Appoinntment='9}}, SURGEON={MTLN121212=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='9}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-14 05:01:39 pm|Action: List of Appointments | Parameters: USER: MONserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-14 05:01:39 pm|Action: List of Appointments | Parameters: USER: SHEserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-14 05:01:39 pm|Action: List of Appointments | Parameters: USER: AllserverQUEA1212 | Action Status: Success | Resonse: {PHYSICIAN={QUEA121212=Appointment{Number of Appoinntment='0}, QUEE121212=Appointment{Number of Appoinntment='9}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={MTLE121212=Appointment{Number of Appoinntment='9}}, SURGEON={MTLN121212=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='9}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-14 05:01:39 pm|Action:  | Parameters: USER: QUEServerQUEA1212/ AppointmentId: QUEA121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Failed | Resonse: appointmentbook
DATE: 2022-02-14 05:02:22 pm|Action: List of Appointments | Parameters: USER: MONserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-14 05:02:22 pm|Action: List of Appointments | Parameters: USER: SHEserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-14 05:02:22 pm|Action: List of Appointments | Parameters: USER: AllserverQUEA1212 | Action Status: Success | Resonse: {PHYSICIAN={QUEA121212=Appointment{Number of Appoinntment='0}, QUEE121212=Appointment{Number of Appoinntment='9}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={MTLE121212=Appointment{Number of Appoinntment='9}}, SURGEON={MTLN121212=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='9}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-14 05:02:41 pm|Action: List of Appointments | Parameters: USER: MONserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-14 05:02:41 pm|Action: List of Appointments | Parameters: USER: SHEserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-14 05:02:41 pm|Action: List of Appointments | Parameters: USER: AllserverQUEA1212 | Action Status: Success | Resonse: {PHYSICIAN={QUEA121212=Appointment{Number of Appoinntment='0}, QUEE121212=Appointment{Number of Appoinntment='9}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={MTLE121212=Appointment{Number of Appoinntment='9}}, SURGEON={MTLN121212=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='9}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-14 05:02:41 pm|Action: Appointment BookedMTLE121212 | Parameters: USER: mtlserverQUEA1212/ AppointmentId: MTLE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-14 05:02:41 pm|Action: Appointment BookedMTLE121212 | Parameters: USER:MTLserverQUEA1212/ AppointmentId: MTLE121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-14 05:03:01 pm|Action: List of Appointments | Parameters: USER: MONserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-14 05:03:01 pm|Action: List of Appointments | Parameters: USER: SHEserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-14 05:03:01 pm|Action: List of Appointments | Parameters: USER: AllserverQUEA1212 | Action Status: Success | Resonse: {PHYSICIAN={QUEA121212=Appointment{Number of Appoinntment='0}, QUEE121212=Appointment{Number of Appoinntment='9}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={MTLE121212=Appointment{Number of Appoinntment='8}}, SURGEON={MTLN121212=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='9}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-14 05:03:01 pm|Action: Appointment not BookedMTLE121212 | Parameters: USER:mtlserverQUEA1212/ AppointmentId: MTLE121212/ AppointmentType: PHYSICIAN | Action Status: failed | Resonse: false
DATE: 2022-02-14 05:03:01 pm|Action: Appointment notBookedMTLE121212 | Parameters: USER: MTLserverQUEA1212/ AppointmentId: MTLE121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Failed | Resonse: Appointment Notadded
DATE: 2022-02-14 05:03:17 pm|Action: getAppointmentSchedule | Parameters: USER:sheorqueserver[MTLE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-14 05:03:17 pm|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE121212PHYSICIAN]null | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 09:52:16 am|Action: List of Appointments | Parameters: USER: MONserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-23 09:52:16 am|Action: List of Appointments | Parameters: USER: SHEserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-23 09:52:16 am|Action: List of Appointments | Parameters: USER: AllserverQUEA1212 | Action Status: Success | Resonse: {PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-23 09:52:33 am|Action: Appointment BookedQUEE121212 | Parameters: USER: QUEserverQUEA1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-23 09:52:56 am|Action: getAppointmentSchedule | Parameters: USER:allserver[QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 09:52:56 am|Action: Appointment BookedMTLE140222 | Parameters: USER: mtlserverQUEA1212/ AppointmentId: MTLE140222/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-23 09:52:56 am|Action: Appointment BookedMTLE140222 | Parameters: USER:MTLserverQUEA1212/ AppointmentId: MTLE140222/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-23 09:53:05 am|Action: getAppointmentSchedule | Parameters: USER:sheorqueserver[MTLE140222PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 09:53:05 am|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE140222PHYSICIAN][QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 09:53:11 am|Action: List of Appointments | Parameters: USER: MONserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-23 09:53:11 am|Action: List of Appointments | Parameters: USER: SHEserverQUEA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-23 09:53:11 am|Action: List of Appointments | Parameters: USER: AllserverQUEA1212 | Action Status: Success | Resonse: {PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='9}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='9}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-23 09:53:28 am|Action: getAppointmentSchedule | Parameters: USER:sheorqueserver[MTLE140222PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 09:53:28 am|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE140222PHYSICIAN][QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 09:53:28 am|Action: Appointment BookedMTLN140222 | Parameters: USER: mtlserverQUEA1212/ AppointmentId: MTLN140222/ AppointmentType: SURGEON | Action Status: Success | Resonse: TRUE
DATE: 2022-02-23 09:53:28 am|Action: Appointment BookedMTLN140222 | Parameters: USER:MTLserverQUEA1212/ AppointmentId: MTLN140222/ AppointmentType: SURGEON/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-23 09:53:46 am|Action: getAppointmentSchedule | Parameters: USER:sheorqueserver[MTLE140222PHYSICIAN, MTLN140222SURGEON] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 09:53:46 am|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE140222PHYSICIAN, MTLN140222SURGEON][QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 09:53:46 am|Action: Appointment BookedMTLA140222 | Parameters: USER: mtlserverQUEA1212/ AppointmentId: MTLA140222/ AppointmentType: DENTIST | Action Status: Success | Resonse: TRUE
DATE: 2022-02-23 09:53:46 am|Action: Appointment BookedMTLA140222 | Parameters: USER:MTLserverQUEA1212/ AppointmentId: MTLA140222/ AppointmentType: DENTIST/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-23 09:53:49 am|Action: getAppointmentSchedule | Parameters: USER:sheorqueserver[MTLE140222PHYSICIAN, MTLN140222SURGEON, MTLA140222DENTIST] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 09:53:49 am|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE140222PHYSICIAN, MTLN140222SURGEON, MTLA140222DENTIST][QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 09:55:03 am|Action: getAppointmentSchedule | Parameters: USER:sheorqueserver[MTLE140222PHYSICIAN, MTLN140222SURGEON, MTLA140222DENTIST] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 09:55:03 am|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE140222PHYSICIAN, MTLN140222SURGEON, MTLA140222DENTIST][QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 09:56:05 am|Action: getAppointmentSchedule | Parameters: USER:sheorqueserver[MTLE140222PHYSICIAN, MTLN140222SURGEON, MTLA140222DENTIST] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 09:56:05 am|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE140222PHYSICIAN, MTLN140222SURGEON, MTLA140222DENTIST][QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 09:57:57 am|Action: Appointment CancelledMTLE140222 | Parameters: USER: MONserverQUEA1212/ AppointmentId: MTLE140222/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: true
