DATE: 2022-02-08 11:47:44 pm|Action: addAppointmentMTLA1212|MTLA121212|PHYSICIAN | Parameters: USER:MONserverMTLA1212/ AppointmentId: MTLA121212/ AppointmentType: PHYSICIAN/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-08 11:47:58 pm|Action: addAppointmentMTLA1212|SHEA121212|SURGEON | Parameters: USER:sheserverMTLA1212/ AppointmentId: SHEA121212/ AppointmentType: SURGEON/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-08 11:47:58 pm|Action: addAppointmentMTLA1212|SHEA121212|SURGEON | Parameters: USER:SHEserverMTLA1212/ AppointmentId: SHEA121212/ AppointmentType: SURGEON/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 11:47:07 am|Action: addAppointmentMTLA1212|MTLA121212|PHYSICIAN | Parameters: USER:MONserverMTLA1212/ AppointmentId: MTLA121212/ AppointmentType: PHYSICIAN/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 11:47:37 am|Action: addAppointmentMTLA1212|QUEA121212|SURGEON | Parameters: USER:MONserverMTLA1212/ AppointmentId: QUEA121212/ AppointmentType: SURGEON/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 11:47:37 am|Action: addAppointmentMTLA1212|QUEA121212|SURGEON | Parameters: USER:QUEserverMTLA1212/ AppointmentId: QUEA121212/ AppointmentType: SURGEON/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 01:07:57 pm|Action: addAppointmentMTLA1212|MTLA121212|PHYSICIAN | Parameters: USER:MONserverMTLA1212/ AppointmentId: MTLA121212/ AppointmentType: PHYSICIAN/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 01:08:19 pm|Action: addAppointmentMTLA1212|QUEA121212|SURGEON | Parameters: USER:MONserverMTLA1212/ AppointmentId: QUEA121212/ AppointmentType: SURGEON/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 01:08:19 pm|Action: addAppointmentMTLA1212|QUEA121212|SURGEON | Parameters: USER:QUEserverMTLA1212/ AppointmentId: QUEA121212/ AppointmentType: SURGEON/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 01:08:24 pm|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-09 01:11:59 pm|Action: Appointment not BookedMTLA121212 | Parameters: USER:MONserverMTLP1212/ AppointmentId: MTLA121212/ AppointmentType: PHYSICIAN | Action Status: failed | Resonse: false
DATE: 2022-02-09 01:12:56 pm|Action:  | Parameters: USER: QUEServerMTLP1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Failed | Resonse: appointmentbook
DATE: 2022-02-09 01:12:56 pm|Action: Appointment notBookedQUEE121212 | Parameters: USER: QUEserverMTLP1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Failed | Resonse: Appointment Notadded
DATE: 2022-02-09 02:26:24 pm|Action: addAppointmentMTLA1212|MTLE121212|PHYSICIAN | Parameters: USER:MONserverMTLA1212/ AppointmentId: MTLE121212/ AppointmentType: PHYSICIAN/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 02:37:09 pm|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-09 02:37:09 pm|Action: List of Appointments | Parameters: USER: SHEserverMTLA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-09 02:37:09 pm|Action: List of Appointments | Parameters: USER: AllserverMTLA1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLE121212=Appointment{Number of Appoinntment='12}}, SURGEON={MTLN121212=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-09 02:37:27 pm|Action: Appointment BookedMTLE121212 | Parameters: USER: MonserverMTLA1212/ AppointmentId: MTLE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-09 02:38:16 pm|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-09 02:38:33 pm|Action: Appointment not BookedMTLE121212 | Parameters: USER:MONserverMTLA1212/ AppointmentId: MTLE121212/ AppointmentType: PHYSICIAN | Action Status: failed | Resonse: false
DATE: 2022-02-09 02:39:59 pm|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-09 02:40:18 pm|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-09 02:40:18 pm|Action: List of Appointments | Parameters: USER: SHEserverMTLA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-09 02:40:18 pm|Action: List of Appointments | Parameters: USER: AllserverMTLA1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLE121212=Appointment{Number of Appoinntment='11}}, SURGEON={MTLN121212=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-09 02:43:34 pm|Action: getAppointmentSchedule | Parameters: USER:allservernull | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-09 02:46:33 pm|Action:  | Parameters: USER: MONServerMTLP1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Failed | Resonse: appointmentbook
DATE: 2022-02-09 02:47:15 pm|Action: List of Appointments | Parameters: USER: MONserverMTLP1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-09 02:47:15 pm|Action: List of Appointments | Parameters: USER: SHEserverMTLP1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-09 02:47:15 pm|Action: List of Appointments | Parameters: USER: AllserverMTLP1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLE121212=Appointment{Number of Appoinntment='11}}, SURGEON={MTLN121212=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-09 02:47:29 pm|Action: Appointment BookedMTLE121212 | Parameters: USER: MonserverMTLP1212/ AppointmentId: MTLE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-09 02:47:40 pm|Action:  | Parameters: USER: MONServerMTLP1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Failed | Resonse: appointmentbook
DATE: 2022-02-09 02:48:49 pm|Action: List of Appointments | Parameters: USER: MONserverMTLP1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-09 02:48:49 pm|Action: List of Appointments | Parameters: USER: SHEserverMTLP1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-09 02:48:49 pm|Action: List of Appointments | Parameters: USER: AllserverMTLP1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLE121212=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN121212=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-09 02:49:00 pm|Action: Appointment BookedQUEE121212 | Parameters: USER: QUEserverMTLP1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-09 02:49:00 pm|Action: Appointment BookedQUEE121212 | Parameters: USER:QUEserverMTLP1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 02:49:08 pm|Action: getAppointmentSchedule | Parameters: USER:sheormtlserver[QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-09 02:49:08 pm|Action: getAppointmentSchedule | Parameters: USER:allservernull[QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-09 02:51:53 pm|Action: List of Appointments | Parameters: USER: MONserverMTLP1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-09 02:51:53 pm|Action: List of Appointments | Parameters: USER: SHEserverMTLP1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-09 02:51:53 pm|Action: List of Appointments | Parameters: USER: AllserverMTLP1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLE121212=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN121212=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-09 02:52:12 pm|Action: Appointment BookedQUEE121212 | Parameters: USER: QUEserverMTLP1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-09 02:52:12 pm|Action: Appointment BookedQUEE121212 | Parameters: USER:QUEserverMTLP1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 02:52:15 pm|Action: List of Appointments | Parameters: USER: MONserverMTLP1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-09 02:52:15 pm|Action: List of Appointments | Parameters: USER: SHEserverMTLP1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-09 02:52:15 pm|Action: List of Appointments | Parameters: USER: AllserverMTLP1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLE121212=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN121212=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='9}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-09 02:52:18 pm|Action: getAppointmentSchedule | Parameters: USER:sheormtlserver[QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-09 02:52:18 pm|Action: getAppointmentSchedule | Parameters: USER:allservernull[QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-09 02:54:13 pm|Action: Appointment CancelledQUEE121212 | Parameters: USER: QUEserverMTLP1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: true
DATE: 2022-02-09 02:54:13 pm|Action: Appointment CancelledQUEE121212 | Parameters: USER:QUEserverMTLP1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Success | Resonse: true
DATE: 2022-02-09 02:54:30 pm|Action: Appointment not CancelledQUEE121212 | Parameters: USER: QUEserverMTLP1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN | Action Status: failed | Resonse: false
DATE: 2022-02-09 02:54:30 pm|Action: Appointment not CancelledQUEE121212 | Parameters: USER: QUEserverMTLP1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Failed | Resonse: fail
DATE: 2022-02-09 08:13:13 pm|Action: Appointment notAddedQUEE121212 | Parameters: USER: MTLserverMTLA1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN/ NumofAppointment: 12 | Action Status: Failed | Resonse: Appointment Notadded
DATE: 2022-02-09 08:14:29 pm|Action: addAppointmentMTLA1212|MTLA121212|PHYSICIAN | Parameters: USER:MONserverMTLA1212/ AppointmentId: MTLA121212/ AppointmentType: PHYSICIAN/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 08:14:50 pm|Action: Appointment removedMTLA121212 | Parameters: USER: MONserverMTLA1212/ AppointmentId: MTLA121212/ AppointmentType: PHYSICIAN/ NumofAppointmentRemoved: 0 | Action Status: Success | Resonse: removed
DATE: 2022-02-09 08:14:55 pm|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-09 08:14:55 pm|Action: List of Appointments | Parameters: USER: SHEserverMTLA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-09 08:14:55 pm|Action: List of Appointments | Parameters: USER: AllserverMTLA1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLA121212=Appointment{Number of Appoinntment='0}, MTLE121212=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN121212=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-09 08:15:30 pm|Action: Appointment BookedMTLA121212 | Parameters: USER: MonserverMTLP1212/ AppointmentId: MTLA121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-09 08:17:16 pm|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-09 08:17:16 pm|Action: List of Appointments | Parameters: USER: SHEserverMTLA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-09 08:17:16 pm|Action: List of Appointments | Parameters: USER: AllserverMTLA1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLE121212=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN121212=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-09 08:17:32 pm|Action: Appointment removedMTLE121212 | Parameters: USER: MONserverMTLA1212/ AppointmentId: MTLE121212/ AppointmentType: PHYSICIAN/ NumofAppointmentRemoved: 0 | Action Status: Success | Resonse: removed
DATE: 2022-02-09 08:17:35 pm|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-09 08:17:35 pm|Action: List of Appointments | Parameters: USER: SHEserverMTLA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-09 08:17:35 pm|Action: List of Appointments | Parameters: USER: AllserverMTLA1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLE121212=Appointment{Number of Appoinntment='0}}, SURGEON={MTLN121212=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-09 08:17:59 pm|Action:  | Parameters: USER: MONServerMTLA1212/ AppointmentId: MTLE121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Failed | Resonse: appointmentbook
DATE: 2022-02-09 08:19:01 pm|Action: Appointment BookedQUEE121212 | Parameters: USER: QUEserverMTLP1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-09 08:19:01 pm|Action: Appointment BookedQUEE121212 | Parameters: USER:QUEserverMTLP1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 09:00:08 pm|Action:  | Parameters: USER: QUEServerMTLP1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Failed | Resonse: appointmentbook
DATE: 2022-02-09 09:00:08 pm|Action: Appointment notBookedQUEE121212 | Parameters: USER: QUEserverMTLP1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Failed | Resonse: Appointment Notadded
DATE: 2022-02-09 09:01:09 pm|Action: Appointment BookedSHEE121212 | Parameters: USER: SHEserverMTLP1212/ AppointmentId: SHEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-09 09:01:09 pm|Action: Appointment BookedSHEE121212 | Parameters: USER:SHEserverMTLP1212/ AppointmentId: SHEE121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 09:01:36 pm|Action:  | Parameters: USER: MONServerMTLP1212/ AppointmentId: SHEN121212/ AppointmentType: SURGEON/ NumofAppointment:  | Action Status: Failed | Resonse: appointmentbook
DATE: 2022-02-09 09:01:36 pm|Action: Appointment notBookedSHEN121212 | Parameters: USER: SHEserverMTLP1212/ AppointmentId: SHEN121212/ AppointmentType: SURGEON/ NumofAppointment:  | Action Status: Failed | Resonse: Appointment Notbooked
DATE: 2022-02-09 09:08:51 pm|Action: addAppointmentMTLA1212|MTLA121212|PHYSICIAN | Parameters: USER:MONserverMTLA1212/ AppointmentId: MTLA121212/ AppointmentType: PHYSICIAN/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 09:09:05 pm|Action: addAppointmentMTLA1212|MTLE121212|SURGEON | Parameters: USER:MONserverMTLA1212/ AppointmentId: MTLE121212/ AppointmentType: SURGEON/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 09:11:40 pm|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-09 09:11:40 pm|Action: List of Appointments | Parameters: USER: SHEserverMTLA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-09 09:11:40 pm|Action: List of Appointments | Parameters: USER: AllserverMTLA1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLA121212=Appointment{Number of Appoinntment='12}, MTLE121212=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN121212=Appointment{Number of Appoinntment='10}, MTLE121212=Appointment{Number of Appoinntment='12}}, DENTIST={MTLA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-09 09:11:53 pm|Action: addAppointmentMTLA1212|MTLM121212|PHYSICIAN | Parameters: USER:MONserverMTLA1212/ AppointmentId: MTLM121212/ AppointmentType: PHYSICIAN/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-09 09:12:21 pm|Action: addAppointmentMTLA1212|MTLA121212|PHYSICIAN | Parameters: USER:MONserverMTLA1212/ AppointmentId: MTLA121212/ AppointmentType: PHYSICIAN/ NumofAppointment: 14 | Action Status: Success | Resonse: Appointment added
