DATE: 2022-02-20 04:09:11 PM|Action: addAppointmentMTLA1212|MTLA121212|PHYSICIAN | Parameters: USER:MONserverMTLA1212/ AppointmentId: MTLA121212/ AppointmentType: PHYSICIAN/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-20 04:09:31 PM|Action: getAppointmentSchedule | Parameters: USER:allservernull | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 02:23:30 PM|Action: List of Appointments | Parameters: USER: AllserverMTLA1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-23 02:28:05 PM|Action: getAppointmentSchedule | Parameters: USER:allservernull | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 02:28:05 PM|Action: Appointment BookedMTLE140222 | Parameters: USER: mtlserverMTLA1212/ AppointmentId: MTLE140222/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-23 02:28:32 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE140222PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 02:28:37 PM|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-23 02:28:37 PM|Action: List of Appointments | Parameters: USER: SHEserverMTLA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-23 02:28:37 PM|Action: List of Appointments | Parameters: USER: AllserverMTLA1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='9}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-23 02:38:03 PM|Action: Appointment CancelledMTLE140222 | Parameters: USER: MONserverMTLA1212/ AppointmentId: MTLE140222/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: true
DATE: 2022-02-23 02:38:03 PM|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-23 02:38:03 PM|Action: Appointment BookedQUEE121212 | Parameters: USER: QUEserverMTLA1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-23 02:38:03 PM|Action: Appointment SwappedMTLE140222PHYSICIANtoQUEE121212PHYSICIAN | Parameters: USER: MONservertoQUEserverMTLA1212/ oldAppointmentId: MTLE140222/ oldAppointmentType: PHYSICIAN/ NewAppointmentId: QUEE121212/ newAppointmentType: PHYSICIAN | Action Status: Success | Resonse: true
DATE: 2022-02-23 02:38:12 PM|Action: getAppointmentSchedule | Parameters: USER:sheormtlserver[QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 02:38:12 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[][QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 08:19:41 PM|Action: List of Appointments | Parameters: USER: MONserverMTLP1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-23 08:19:41 PM|Action: List of Appointments | Parameters: USER: SHEserverMTLP1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-23 08:19:41 PM|Action: List of Appointments | Parameters: USER: AllserverMTLP1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-23 08:21:10 PM|Action: getAppointmentSchedule | Parameters: USER:allservernull | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 08:21:10 PM|Action: Appointment BookedMTLE140222 | Parameters: USER: mtlserverMTLP1212/ AppointmentId: MTLE140222/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-23 08:21:19 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE140222PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 08:23:35 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE140222PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 08:23:35 PM|Action: List of Appointments | Parameters: USER: MONserverMTLP1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-23 08:23:35 PM|Action: Appointment BookedQUEN121212 | Parameters: USER: QUEserverMTLP1212/ AppointmentId: QUEN121212/ AppointmentType: SURGEON | Action Status: Success | Resonse: TRUE
DATE: 2022-02-23 08:23:35 PM|Action: Appointment BookedQUEN121212 | Parameters: USER:queserverMTLP1212/ AppointmentId: QUEN121212/ AppointmentType: SURGEON/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-23 08:26:45 PM|Action: List of Appointments | Parameters: USER: MONserverMTLP1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-23 08:26:45 PM|Action: List of Appointments | Parameters: USER: SHEserverMTLP1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-23 08:26:45 PM|Action: List of Appointments | Parameters: USER: AllserverMTLP1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='9}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='9}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-23 08:26:48 PM|Action: getAppointmentSchedule | Parameters: USER:sheormtlserver[QUEN121212SURGEON] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 08:26:48 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE140222PHYSICIAN][QUEN121212SURGEON] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 08:29:01 PM|Action: getAppointmentSchedule | Parameters: USER:sheormtlserver[QUEN121212SURGEON] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 08:29:01 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE140222PHYSICIAN][QUEN121212SURGEON] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 08:29:01 PM|Action: List of Appointments | Parameters: USER: MONserverMTLP1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-23 08:29:01 PM|Action: Appointment BookedQUEA121212 | Parameters: USER: QUEserverMTLP1212/ AppointmentId: QUEA121212/ AppointmentType: DENTIST | Action Status: Success | Resonse: TRUE
DATE: 2022-02-23 08:29:01 PM|Action: Appointment BookedQUEA121212 | Parameters: USER:queserverMTLP1212/ AppointmentId: QUEA121212/ AppointmentType: DENTIST/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-23 08:29:46 PM|Action: List of Appointments | Parameters: USER: MONserverMTLP1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-23 08:29:46 PM|Action: List of Appointments | Parameters: USER: SHEserverMTLP1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-23 08:29:46 PM|Action: List of Appointments | Parameters: USER: AllserverMTLP1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='9}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='9}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='9}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-23 08:30:13 PM|Action: Appointment CancelledQUEN121212 | Parameters: USER: QUEserverMTLP1212/ AppointmentId: QUEN121212/ AppointmentType: SURGEON | Action Status: Success | Resonse: true
DATE: 2022-02-23 08:30:13 PM|Action: Appointment CancelledQUEN121212 | Parameters: USER:QUEserverMTLP1212/ AppointmentId: QUEN121212/ AppointmentType: SURGEON/ NumofAppointment:  | Action Status: Success | Resonse: true
DATE: 2022-02-23 08:31:18 PM|Action: getAppointmentSchedule | Parameters: USER:sheormtlserver[QUEA121212DENTIST] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 08:31:18 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE140222PHYSICIAN][QUEA121212DENTIST] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 08:32:59 PM|Action: Appointment CancelledMTLE140222 | Parameters: USER: MONserverMTLP1212/ AppointmentId: MTLE140222/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: true
DATE: 2022-02-23 08:32:59 PM|Action: getAppointmentSchedule | Parameters: USER:sheormtlserver[QUEA121212DENTIST] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 08:32:59 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[][QUEA121212DENTIST] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 08:32:59 PM|Action: Appointment BookedMTLN140222 | Parameters: USER: mtlserverMTLP1212/ AppointmentId: MTLN140222/ AppointmentType: SURGEON | Action Status: Success | Resonse: TRUE
DATE: 2022-02-23 08:32:59 PM|Action: Appointment SwappedMTLE140222PHYSICIANtoMTLN140222PHYSICIAN | Parameters: USER: MONservertoMONserverMTLP1212/ oldAppointmentId: MTLE140222/ oldAppointmentType: PHYSICIAN/ NewAppointmentId: MTLN140222/ newAppointmentType: SURGEON | Action Status: Success | Resonse: true
DATE: 2022-02-23 08:35:38 PM|Action: getAppointmentSchedule | Parameters: USER:sheormtlserver[QUEA121212DENTIST] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 08:35:38 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLN140222SURGEON][QUEA121212DENTIST] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 08:36:32 PM|Action: getAppointmentSchedule | Parameters: USER:sheormtlserver[QUEA121212DENTIST] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 08:36:32 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLN140222SURGEON][QUEA121212DENTIST] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 08:55:23 PM|Action: Sending request to que server for swapappointmentQUEA121212DENTISTtoSHEA121212DENTIST | Parameters: USER: MONservertoQUEserverMTLP1212/ oldAppointmentId: QUEA121212/ oldAppointmentType: DENTIST/ NewAppointmentId: SHEA121212/ newAppointmentType: DENTIST | Action Status: Success | Resonse: true
DATE: 2022-02-23 08:58:15 PM|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-23 08:58:15 PM|Action: List of Appointments | Parameters: USER: SHEserverMTLA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-23 08:58:15 PM|Action: List of Appointments | Parameters: USER: AllserverMTLA1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-23 08:58:29 PM|Action: getAppointmentSchedule | Parameters: USER:allservernull | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 08:58:29 PM|Action: Appointment BookedMTLE140222 | Parameters: USER: mtlserverMTLA1212/ AppointmentId: MTLE140222/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-23 08:59:15 PM|Action: Appointment CancelledMTLE140222 | Parameters: USER: MONserverMTLA1212/ AppointmentId: MTLE140222/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: true
DATE: 2022-02-23 08:59:15 PM|Action: Appointment BookedSHEN121212 | Parameters: USER: sheserverMTLA1212/ AppointmentId: SHEN121212/ AppointmentType: SURGEON | Action Status: Success | Resonse: TRUE
DATE: 2022-02-23 08:59:15 PM|Action: Appointment SwappedMTLE140222PHYSICIANtoSHEN121212PHYSICIAN | Parameters: USER: MONservertoSHEserverMTLA1212/ oldAppointmentId: MTLE140222/ oldAppointmentType: PHYSICIAN/ NewAppointmentId: SHEN121212/ newAppointmentType: SURGEON | Action Status: Success | Resonse: true
DATE: 2022-02-23 09:07:17 PM|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-23 09:07:18 PM|Action: List of Appointments | Parameters: USER: SHEserverMTLA1212 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-02-23 09:07:18 PM|Action: List of Appointments | Parameters: USER: AllserverMTLA1212 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}, DENTIST={MTLA140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={QUEA121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}, DENTIST={SHEA121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-02-23 09:07:33 PM|Action: getAppointmentSchedule | Parameters: USER:allservernull | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-02-23 09:07:33 PM|Action: List of Appointments | Parameters: USER: MONserverMTLA1212 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-02-23 09:07:33 PM|Action: Appointment BookedQUEE121212 | Parameters: USER: QUEserverMTLA1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-02-23 09:07:33 PM|Action: Appointment BookedQUEE121212 | Parameters: USER:queserverMTLA1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-02-23 09:08:10 PM|Action: Sending request to que server for swapappointmentQUEE121212PHYSICIANtoSHEN121212PHYSICIAN | Parameters: USER: MONservertoQUEserverMTLA1212/ oldAppointmentId: QUEE121212/ oldAppointmentType: PHYSICIAN/ NewAppointmentId: SHEN121212/ newAppointmentType: SURGEON | Action Status: Success | Resonse: true
